Hero,Matches,Wins,WinRate
toro,109.61,52.42,0.4782
marja,107.18,53.82,0.5021
billow,101.16,49.13,0.4857
tachi,87.53,43.54,0.4974
lorion,86.92,41.66,0.4793
capheny,84.42,40.61,0.481
hayate,84.24,42.38,0.5031
elandorr,81.64,39.11,0.4791
zata,77.9,40.17,0.5157
iggy,76.89,45.56,0.5925
ybneth,72.18,37.3,0.5168
dolia,71.15,32.58,0.4579
sinestrea,70.75,43.81,0.6192
skud,70.1,36.15,0.5157
wisp,69.61,40.24,0.5781
qi,68.56,31.16,0.4545
stuart,68.3,30.86,0.4518
violet,67.82,38.46,0.5671
teemee,65.84,28.58,0.4341
liliana,64.66,27.16,0.42
taara,62.5,29.67,0.4747
ryoma,62.26,34.09,0.5475
rouie,61.75,34.83,0.564
enzo,57.35,28.86,0.5032
annette,57.24,34.4,0.601
zephys,57.2,24.6,0.4301
flowborn,57.05,26.64,0.467
valhein,55.82,26.81,0.4803
mganga,52.83,25.15,0.4761
airi,52.75,28.45,0.5393
maloch,52.01,22.73,0.437
biron,51.07,25.39,0.4972
keera,49.13,19.81,0.4032
ignis,48.18,20.6,0.4276
thane,47.24,24.86,0.5262
yena,46.4,21.91,0.4722
cresht,46.37,24.24,0.5228
astrid,43.85,30.27,0.6903
edras,42.25,22.57,0.5342
nakroth,40.98,15.98,0.3899
yue,40.14,18.06,0.4499
mina,39.04,19.5,0.4995
florentino,37.66,17.16,0.4557
alice,36.63,21.82,0.5957
murad,36.22,17.84,0.4925
fennik,33.96,14.53,0.4279
eland'orr,31.66,19.73,0.6232
riktor,31.03,15.5,0.4995
tamyn,28.26,15.02,0.5315
wiro,28.02,13.45,0.48
elsu,27.86,13.06,0.4688
zuka,27.06,13.4,0.4952
y'bneth,26.64,18.4,0.6907
omen,21.14,10.72,0.5071
volkath,19.67,11.56,0.5877
krizzix,17.81,12.73,0.7148
butterfly,17.14,8.24,0.4807
baldum,16.51,8.97,0.5433
gildur,15.86,5.65,0.3562
chaugnar,14.77,11.1,0.7515
moren,14.46,5.4,0.3734
aya,14.11,7.06,0.5004
dyadia,11.01,3.0,0.2725
richter,10.93,7.02,0.6423
natalya,10.16,3.86,0.3799
heino,9.73,4.42,0.4543
aoi,7.55,2.99,0.396
yan,7.53,2.32,0.3081
omega,7.11,1.44,0.2025
xeniel,5.1,1.88,0.3686
goverra,4.87,2.32,0.4764
slimz,4.2,3.1,0.7381
raz,4.19,2.21,0.5274
max,4.12,1.45,0.3519
telannas,3.41,1.43,0.4194
kahlii,3.33,0.89,0.2673
ming,3.21,2.11,0.6573
wonder woman,3.12,0.78,0.25
roxie,3.1,1.88,0.6065
zanis,3.0,1.78,0.5933
kriknak,2.99,2.33,0.7793
bolt baron,2.98,1.55,0.5201
tel'annas,2.9,0.56,0.1931
azzenka,2.88,2.33,0.809
errol,2.76,0.66,0.2391
tulen,2.43,0.44,0.1811
arum,2.22,0.89,0.4009
sephera,2.21,0.66,0.2986
azzen'ka,1.9,0.56,0.2947
krixi,1.79,0.0,0.0
darcy,1.78,0.89,0.5
arthur,1.56,0.78,0.5
flowborn mm,1.56,0.0,0.0
ilumia,1.55,0.66,0.4258
jinnar,1.54,0.66,0.4286
arduin,1.54,0.44,0.2857
zip,1.43,0.66,0.4615
helen,1.32,0.88,0.6667
thorne,1.21,0.44,0.3636
erin,0.99,0.33,0.3333
ata,0.89,0.11,0.1236
laville,0.78,0.0,0.0
veres,0.77,0.44,0.5714
grakk,0.66,0.44,0.6667
lubu,0.66,0.33,0.5
bijan,0.66,0.33,0.5
wukong,0.66,0.66,1.0
charlotte,0.55,0.0,0.0
wonderwoman,0.44,0.22,0.5
bright,0.33,0.33,1.0
teeri,0.22,0.0,0.0
zill,0.22,0.22,1.0
kaine,0.11,0.11,1.0
