Ally_vs_Enemy,Matches,Wins,WinRate
lorion_vs_rouie,34.37,16.62,0.4836
marja_vs_ryoma,30.73,13.19,0.4292
dolia_vs_zata,29.36,13.52,0.4605
rouie_vs_ybneth,23.34,12.95,0.5548
marja_vs_toro,21.64,12.98,0.5998
capheny_vs_elandorr,21.28,10.08,0.4737
tachi_vs_toro,21.16,9.96,0.4707
liliana_vs_zata,21.0,6.45,0.3071
lorion_vs_toro,20.3,9.86,0.4857
capheny_vs_toro,20.08,9.1,0.4532
biron_vs_marja,19.6,11.42,0.5827
billow_vs_skud,18.64,6.1,0.3273
iggy_vs_marja,17.61,9.52,0.5406
marja_vs_qi,17.46,10.49,0.6008
cresht_vs_toro,16.91,8.23,0.4867
marja_vs_taara,16.86,9.32,0.5528
tachi_vs_zata,16.85,9.43,0.5596
billow_vs_rouie,16.54,8.88,0.5369
billow_vs_toro,16.32,8.22,0.5037
elandorr_vs_zata,15.41,6.32,0.4101
billow_vs_qi,14.67,7.23,0.4928
annette_vs_zata,14.65,9.55,0.6519
mganga_vs_toro,14.64,7.66,0.5232
capheny_vs_hayate,14.59,5.3,0.3633
dolia_vs_toro,14.57,6.85,0.4701
airi_vs_tachi,14.56,8.01,0.5501
marja_vs_sinestrea,14.53,5.87,0.404
elandorr_vs_mina,14.52,6.99,0.4814
elandorr_vs_wisp,14.28,4.76,0.3333
marja_vs_teemee,14.18,8.86,0.6248
hayate_vs_marja,14.15,7.86,0.5555
marja_vs_violet,14.0,5.89,0.4207
billow_vs_zata,13.99,5.11,0.3653
maloch_vs_tachi,13.98,8.44,0.6037
billow_vs_stuart,13.95,5.53,0.3964
lorion_vs_skud,13.76,6.65,0.4833
billow_vs_sinestrea,13.75,4.33,0.3149
billow_vs_elandorr,13.73,5.53,0.4028
sinestrea_vs_taara,13.64,6.55,0.4802
capheny_vs_iggy,13.55,6.78,0.5004
mina_vs_sinestrea,13.55,6.44,0.4753
billow_vs_tachi,13.53,6.1,0.4508
nakroth_vs_tachi,13.31,7.43,0.5582
lorion_vs_wisp,13.3,6.09,0.4579
taara_vs_toro,13.28,6.42,0.4834
billow_vs_enzo,13.21,5.1,0.3861
elandorr_vs_violet,13.12,5.78,0.4405
tachi_vs_teemee,12.97,5.98,0.4611
iggy_vs_liliana,12.73,8.87,0.6968
qi_vs_toro,12.63,6.21,0.4917
billow_vs_wisp,12.53,5.98,0.4773
elandorr_vs_marja,12.42,4.78,0.3849
iggy_vs_mganga,12.42,6.66,0.5362
marja_vs_zata,12.33,8.22,0.6667
elandorr_vs_skud,12.33,5.89,0.4777
thane_vs_toro,12.32,8.0,0.6494
maloch_vs_toro,12.27,6.3,0.5134
marja_vs_tachi,12.26,5.84,0.4763
stuart_vs_valhein,12.19,4.2,0.3445
ryoma_vs_zephys,12.11,9.01,0.744
hayate_vs_wisp,12.07,5.09,0.4217
dolia_vs_marja,12.06,4.54,0.3765
alice_vs_zata,12.03,7.35,0.611
ryoma_vs_toro,11.99,5.99,0.4996
capheny_vs_marja,11.98,6.66,0.5559
qi_vs_skud,11.97,5.1,0.4261
lorion_vs_marja,11.85,6.99,0.5899
flowborn_vs_marja,11.82,7.47,0.632
billow_vs_hayate,11.73,6.19,0.5277
florentino_vs_tachi,11.65,5.21,0.4472
dolia_vs_elandorr,11.65,6.88,0.5906
billow_vs_capheny,11.64,6.32,0.543
skud_vs_stuart,11.63,7.2,0.6191
skud_vs_toro,11.53,4.76,0.4128
lorion_vs_qi,11.53,4.43,0.3842
toro_vs_wisp,11.52,4.97,0.4314
marja_vs_wisp,11.52,6.09,0.5286
stuart_vs_toro,11.49,6.42,0.5587
flowborn_vs_hayate,11.47,5.57,0.4856
marja_vs_zephys,11.43,6.21,0.5433
skud_vs_zata,11.43,5.21,0.4558
iggy_vs_toro,11.42,7.99,0.6996
billow_vs_marja,11.42,4.88,0.4273
hayate_vs_ryoma,11.41,5.19,0.4549
lorion_vs_violet,11.36,4.01,0.353
annette_vs_iggy,11.33,5.89,0.5199
biron_vs_iggy,11.31,4.78,0.4226
iggy_vs_ignis,11.27,6.19,0.5492
airi_vs_florentino,11.2,6.99,0.6241
keera_vs_marja,11.2,3.66,0.3268
marja_vs_murad,11.2,5.76,0.5143
enzo_vs_ybneth,11.09,6.66,0.6005
billow_vs_keera,11.08,7.31,0.6597
hayate_vs_toro,11.07,7.08,0.6396
enzo_vs_teemee,10.99,6.11,0.556
toro_vs_zata,10.96,5.98,0.5456
elandorr_vs_ryoma,10.95,5.31,0.4849
enzo_vs_lorion,10.89,5.78,0.5308
iggy_vs_sinestrea,10.88,6.33,0.5818
liliana_vs_toro,10.86,4.76,0.4383
teemee_vs_toro,10.77,4.1,0.3807
hayate_vs_zephys,10.75,9.54,0.8874
billow_vs_biron,10.74,4.53,0.4218
iggy_vs_teemee,10.73,6.76,0.63
marja_vs_ybneth,10.71,4.41,0.4118
tachi_vs_violet,10.66,5.11,0.4794
enzo_vs_toro,10.66,5.34,0.5009
iggy_vs_valhein,10.64,6.87,0.6457
marja_vs_stuart,10.62,6.98,0.6573
hayate_vs_teemee,10.51,6.53,0.6213
hayate_vs_liliana,10.51,6.42,0.6108
elandorr_vs_toro,10.5,2.97,0.2829
sinestrea_vs_ybneth,10.44,5.44,0.5211
annette_vs_sinestrea,10.43,5.21,0.4995
billow_vs_dolia,10.42,4.32,0.4146
elandorr_vs_lorion,10.41,7.54,0.7243
wisp_vs_ybneth,10.4,7.31,0.7029
flowborn_vs_tachi,10.35,3.45,0.3333
tachi_vs_wisp,10.32,4.55,0.4409
billow_vs_iggy,10.31,4.33,0.42
hayate_vs_keera,10.28,4.74,0.4611
capheny_vs_violet,10.24,5.01,0.4893
liliana_vs_sinestrea,10.2,3.32,0.3255
rouie_vs_wisp,10.19,7.32,0.7184
iggy_vs_taara,10.18,3.88,0.3811
tachi_vs_valhein,10.09,4.21,0.4172
iggy_vs_zephys,10.09,4.88,0.4836
biron_vs_toro,10.08,6.21,0.6161
elandorr_vs_iggy,10.06,3.42,0.34
astrid_vs_lorion,9.91,7.57,0.7639
billow_vs_liliana,9.87,3.21,0.3252
iggy_vs_lorion,9.85,5.65,0.5736
toro_vs_valhein,9.85,5.43,0.5513
astrid_vs_tamyn,9.79,5.34,0.5455
ignis_vs_mganga,9.75,4.43,0.4544
lorion_vs_stuart,9.74,5.21,0.5349
ignis_vs_toro,9.73,4.75,0.4882
hayate_vs_tachi,9.69,6.28,0.6481
astrid_vs_dolia,9.68,6.12,0.6322
astrid_vs_violet,9.68,4.34,0.4483
hayate_vs_zata,9.65,4.88,0.5057
annette_vs_toro,9.64,7.21,0.7479
teemee_vs_ybneth,9.62,4.75,0.4938
hayate_vs_lorion,9.62,4.43,0.4605
hayate_vs_stuart,9.61,4.97,0.5172
airi_vs_enzo,9.57,5.9,0.6165
hayate_vs_sinestrea,9.55,2.44,0.2555
capheny_vs_tachi,9.52,4.55,0.4779
edras_vs_tachi,9.49,4.97,0.5237
chaugnar_vs_ybneth,9.44,7.33,0.7765
liliana_vs_marja,9.43,3.67,0.3892
marja_vs_thane,9.43,3.32,0.3521
dolia_vs_hayate,9.41,3.88,0.4123
hayate_vs_ybneth,9.39,4.09,0.4356
liliana_vs_violet,9.33,4.11,0.4405
airi_vs_zata,9.33,5.33,0.5713
dolia_vs_ryoma,9.33,4.89,0.5241
lorion_vs_zephys,9.32,5.33,0.5719
yue_vs_zata,9.31,4.75,0.5102
elandorr_vs_stuart,9.3,4.43,0.4763
hayate_vs_rouie,9.3,4.53,0.4871
capheny_vs_ybneth,9.3,4.55,0.4892
elandorr_vs_valhein,9.29,4.64,0.4995
billow_vs_mganga,9.29,5.64,0.6071
teemee_vs_violet,9.23,2.56,0.2774
capheny_vs_enzo,9.22,6.0,0.6508
annette_vs_teemee,9.21,5.88,0.6384
astrid_vs_billow,9.13,6.79,0.7437
dolia_vs_liliana,9.11,6.44,0.7069
toro_vs_ybneth,9.05,2.76,0.305
flowborn_vs_toro,9.03,3.9,0.4319
alice_vs_billow,9.02,5.12,0.5676
capheny_vs_rouie,8.99,3.11,0.3459
dolia_vs_teemee,8.98,5.43,0.6047
valhein_vs_wisp,8.98,2.09,0.2327
capheny_vs_mina,8.97,4.54,0.5061
billow_vs_ybneth,8.96,2.32,0.2589
ybneth_vs_yena,8.95,5.53,0.6179
flowborn_vs_violet,8.91,2.34,0.2626
billow_vs_zephys,8.88,4.55,0.5124
elandorr_vs_enzo,8.88,3.33,0.375
flowborn_vs_taara,8.8,6.13,0.6966
dolia_vs_thane,8.77,2.55,0.2908
ignis_vs_taara,8.76,5.77,0.6587
capheny_vs_qi,8.74,5.31,0.6076
keera_vs_tachi,8.72,3.53,0.4048
hayate_vs_iggy,8.72,2.64,0.3028
billow_vs_flowborn,8.71,4.58,0.5258
billow_vs_violet,8.69,4.79,0.5512
capheny_vs_thane,8.67,4.0,0.4614
billow_vs_teemee,8.67,6.12,0.7059
biron_vs_skud,8.66,4.33,0.5
iggy_vs_tachi,8.64,5.99,0.6933
annette_vs_biron,8.64,4.54,0.5255
elandorr_vs_teemee,8.64,5.88,0.6806
qi_vs_ybneth,8.62,3.32,0.3852
hayate_vs_qi,8.62,3.19,0.3701
liliana_vs_wisp,8.55,3.33,0.3895
capheny_vs_wisp,8.55,4.33,0.5064
airi_vs_hayate,8.54,4.66,0.5457
edras_vs_marja,8.51,5.54,0.651
annette_vs_hayate,8.51,3.65,0.4289
dolia_vs_flowborn,8.46,5.01,0.5922
alice_vs_flowborn,8.46,5.12,0.6052
hayate_vs_violet,8.45,2.56,0.303
lorion_vs_ryoma,8.45,2.32,0.2746
toro_vs_zephys,8.44,3.89,0.4609
airi_vs_lorion,8.44,4.56,0.5403
airi_vs_taara,8.43,3.77,0.4472
biron_vs_ybneth,8.43,5.66,0.6714
taara_vs_teemee,8.42,3.32,0.3943
skud_vs_ybneth,8.42,4.66,0.5534
hayate_vs_yena,8.39,5.08,0.6055
elandorr_vs_zephys,8.39,4.42,0.5268
cresht_vs_zata,8.35,3.23,0.3868
astrid_vs_tachi,8.35,4.23,0.5066
annette_vs_violet,8.34,3.56,0.4269
annette_vs_ryoma,8.33,5.44,0.6531
lorion_vs_sinestrea,8.32,2.55,0.3065
capheny_vs_maloch,8.32,2.77,0.3329
billow_vs_taara,8.31,7.76,0.9338
rouie_vs_tachi,8.29,4.87,0.5875
flowborn_vs_rouie,8.25,3.79,0.4594
florentino_vs_toro,8.2,4.43,0.5402
capheny_vs_lorion,8.2,3.77,0.4598
stuart_vs_ybneth,8.19,3.87,0.4725
lorion_vs_tachi,8.19,5.21,0.6361
qi_vs_yena,8.19,2.55,0.3114
dolia_vs_stuart,8.18,3.87,0.4731
qi_vs_violet,8.12,3.12,0.3842
liliana_vs_tachi,8.1,2.55,0.3148
liliana_vs_zephys,8.08,4.54,0.5619
elandorr_vs_rouie,8.0,2.77,0.3463
mganga_vs_ybneth,7.98,3.67,0.4599
enzo_vs_iggy,7.98,3.22,0.4035
tachi_vs_zephys,7.98,3.66,0.4586
mina_vs_qi,7.98,2.98,0.3734
elandorr_vs_ybneth,7.97,3.2,0.4015
iggy_vs_stuart,7.97,5.77,0.724
marja_vs_valhein,7.94,4.19,0.5277
alice_vs_dolia,7.91,3.9,0.493
astrid_vs_elandorr,7.9,6.12,0.7747
enzo_vs_zephys,7.89,4.56,0.5779
iggy_vs_violet,7.89,5.12,0.6489
capheny_vs_murad,7.88,4.33,0.5495
maloch_vs_taara,7.87,3.88,0.493
liliana_vs_qi,7.87,3.53,0.4485
omen_vs_skud,7.87,4.65,0.5909
maloch_vs_zata,7.87,4.21,0.5349
eland'orr_vs_toro,7.81,5.91,0.7567
cresht_vs_qi,7.78,2.0,0.2571
toro_vs_violet,7.77,3.45,0.444
ignis_vs_lorion,7.75,4.99,0.6439
qi_vs_tachi,7.74,2.66,0.3437
rouie_vs_y'bneth,7.69,3.9,0.5072
cresht_vs_violet,7.69,4.9,0.6372
billow_vs_wiro,7.67,5.45,0.7106
riktor_vs_ryoma,7.67,3.22,0.4198
ryoma_vs_zata,7.66,3.0,0.3916
hayate_vs_thane,7.65,3.1,0.4052
qi_vs_rouie,7.65,3.77,0.4928
valhein_vs_ybneth,7.65,3.77,0.4928
capheny_vs_skud,7.65,3.11,0.4065
capheny_vs_liliana,7.65,3.88,0.5072
enzo_vs_liliana,7.65,4.88,0.6379
skud_vs_wisp,7.64,3.32,0.4346
liliana_vs_teemee,7.64,3.43,0.449
alice_vs_tachi,7.57,4.23,0.5588
mina_vs_skud,7.55,4.44,0.5881
liliana_vs_yena,7.55,3.0,0.3974
elandorr_vs_liliana,7.55,5.66,0.7497
skud_vs_teemee,7.54,5.44,0.7215
marja_vs_yue,7.54,5.1,0.6764
taara_vs_zephys,7.53,4.64,0.6162
sinestrea_vs_toro,7.53,4.98,0.6614
mganga_vs_taara,7.53,4.1,0.5445
hayate_vs_taara,7.51,3.32,0.4421
airi_vs_qi,7.45,3.0,0.4027
annette_vs_marja,7.44,6.22,0.836
annette_vs_elandorr,7.44,5.66,0.7608
taara_vs_valhein,7.43,5.21,0.7012
ryoma_vs_tachi,7.43,3.88,0.5222
enzo_vs_skud,7.42,4.88,0.6577
tachi_vs_ybneth,7.42,2.77,0.3733
billow_vs_yena,7.42,3.54,0.4771
maloch_vs_ybneth,7.41,1.1,0.1484
elandorr_vs_qi,7.4,4.31,0.5824
flowborn_vs_sinestrea,7.35,2.23,0.3034
iggy_vs_ryoma,7.34,5.45,0.7425
ryoma_vs_wisp,7.33,3.0,0.4093
sinestrea_vs_teemee,7.33,5.11,0.6971
capheny_vs_stuart,7.33,4.66,0.6357
