Hero_Pair,Matches,Wins,WinRate
iggy-toro,24.41,11.32,0.4637
dolia-tachi,22.81,11.96,0.5243
billow-toro,20.65,13.54,0.6557
billow-lorion,20.4,8.87,0.4348
dolia-zata,20.33,11.45,0.5632
ryoma-violet,18.24,9.9,0.5428
billow-marja,18.11,9.12,0.5036
elandorr-toro,17.15,11.52,0.6717
hayate-sinestrea,16.51,8.76,0.5306
lorion-ybneth,16.26,8.18,0.5031
lorion-teemee,15.97,4.42,0.2768
hayate-lorion,15.97,7.42,0.4646
annette-marja,15.65,11.22,0.7169
toro-violet,15.36,6.24,0.4063
billow-ybneth,15.3,6.98,0.4562
billow-capheny,14.88,10.56,0.7097
hayate-marja,14.49,7.62,0.5259
marja-toro,14.41,4.53,0.3144
marja-tachi,14.41,7.98,0.5538
billow-elandorr,13.99,5.65,0.4039
elandorr-liliana,13.96,5.1,0.3653
iggy-ybneth,13.96,9.09,0.6511
hayate-ybneth,13.94,8.85,0.6349
elandorr-qi,13.85,5.44,0.3928
cresht-marja,13.67,7.89,0.5772
capheny-marja,13.65,7.54,0.5524
lorion-marja,13.54,5.43,0.401
iggy-wisp,13.53,9.54,0.7051
lorion-tachi,13.2,8.98,0.6803
sinestrea-skud,12.98,6.77,0.5216
elandorr-lorion,12.96,6.52,0.5031
ryoma-toro,12.89,6.12,0.4748
hayate-skud,12.83,8.19,0.6383
hayate-teemee,12.74,3.99,0.3132
hayate-toro,12.68,7.17,0.5655
capheny-skud,12.55,4.99,0.3976
marja-zephys,12.54,5.2,0.4147
capheny-zata,12.44,5.45,0.4381
capheny-lorion,12.32,7.99,0.6485
ryoma-tachi,12.32,7.22,0.586
liliana-tachi,12.29,6.32,0.5142
sinestrea-toro,12.18,8.09,0.6642
elandorr-ybneth,12.1,4.44,0.3669
billow-flowborn,12.03,5.46,0.4539
dolia-sinestrea,11.88,6.88,0.5791
hayate-rouie,11.85,8.75,0.7384
billow-wisp,11.83,6.19,0.5232
toro-wisp,11.76,7.56,0.6429
billow-qi,11.64,2.32,0.1993
qi-rouie,11.55,7.45,0.645
marja-wisp,11.54,6.65,0.5763
rouie-toro,11.4,6.98,0.6123
dolia-stuart,11.38,5.64,0.4956
airi-toro,11.33,5.22,0.4607
marja-violet,11.33,7.55,0.6664
toro-zata,11.3,5.65,0.5
mganga-stuart,11.28,5.3,0.4699
tachi-zata,11.2,5.32,0.475
marja-ybneth,11.17,5.42,0.4852
marja-valhein,10.98,2.99,0.2723
marja-zata,10.97,7.31,0.6664
tachi-yena,10.96,5.98,0.5456
annette-capheny,10.88,4.66,0.4283
ignis-toro,10.88,4.33,0.398
sinestrea-zata,10.78,9.0,0.8349
elandorr-tachi,10.76,5.77,0.5362
qi-toro,10.74,5.43,0.5056
sinestrea-stuart,10.73,6.41,0.5974
capheny-ybneth,10.64,4.99,0.469
teemee-wisp,10.64,4.31,0.4051
iggy-taara,10.61,5.86,0.5523
billow-violet,10.57,5.12,0.4844
biron-hayate,10.53,3.2,0.3039
capheny-toro,10.52,5.31,0.5048
skud-toro,10.51,5.31,0.5052
qi-teemee,10.43,4.0,0.3835
toro-zephys,10.42,3.33,0.3196
billow-zata,10.33,4.88,0.4724
enzo-wisp,10.32,5.55,0.5378
lorion-wisp,10.3,3.76,0.365
iggy-marja,10.3,4.97,0.4825
edras-toro,10.3,4.54,0.4408
enzo-rouie,10.24,6.9,0.6738
enzo-mganga,10.22,5.11,0.5
stuart-tachi,10.16,5.18,0.5098
rouie-skud,10.1,5.99,0.5931
billow-iggy,10.08,6.31,0.626
billow-skud,9.99,4.44,0.4444
tachi-toro,9.96,2.54,0.255
hayate-qi,9.95,4.21,0.4231
tachi-valhein,9.94,5.08,0.5111
dolia-marja,9.87,5.65,0.5724
elandorr-skud,9.85,3.21,0.3259
edras-iggy,9.85,7.87,0.799
astrid-elandorr,9.79,7.12,0.7273
annette-billow,9.78,6.34,0.6483
hayate-iggy,9.74,5.65,0.5801
marja-teemee,9.74,4.19,0.4302
lorion-maloch,9.66,6.44,0.6667
ignis-marja,9.62,2.98,0.3098
flowborn-maloch,9.57,2.56,0.2675
dolia-liliana,9.53,3.33,0.3494
liliana-ryoma,9.43,5.45,0.5779
stuart-toro,9.43,3.99,0.4231
capheny-teemee,9.41,3.33,0.3539
marja-thane,9.32,4.44,0.4764
billow-liliana,9.32,2.98,0.3197
biron-sinestrea,9.21,4.33,0.4701
qi-zata,9.2,4.12,0.4478
capheny-tachi,9.19,2.54,0.2764
ryoma-thane,9.12,5.12,0.5614
yena-zata,9.11,4.88,0.5357
hayate-ryoma,9.08,6.43,0.7081
murad-toro,9.08,3.43,0.3778
billow-teemee,9.07,3.42,0.3771
ybneth-yue,8.99,4.55,0.5061
keera-qi,8.97,1.55,0.1728
astrid-violet,8.91,6.57,0.7374
maloch-sinestrea,8.89,3.89,0.4376
enzo-qi,8.88,5.0,0.5631
capheny-rouie,8.88,4.89,0.5507
teemee-zephys,8.88,4.55,0.5124
iggy-violet,8.87,4.99,0.5626
marja-rouie,8.84,4.08,0.4615
flowborn-y'bneth,8.82,6.03,0.6837
capheny-mina,8.78,4.22,0.4806
airi-billow,8.78,2.78,0.3166
marja-stuart,8.73,4.41,0.5052
fennik-toro,8.7,4.07,0.4678
flowborn-zephys,8.7,4.02,0.4621
liliana-violet,8.67,5.67,0.654
enzo-skud,8.66,5.33,0.6155
billow-mganga,8.65,5.78,0.6682
biron-dolia,8.65,2.67,0.3087
iggy-sinestrea,8.64,6.32,0.7315
dolia-elandorr,8.62,2.87,0.3329
capheny-cresht,8.57,5.12,0.5974
taara-wisp,8.55,6.11,0.7146
billow-hayate,8.52,2.31,0.2711
violet-zata,8.46,4.01,0.474
alice-elandorr,8.46,5.23,0.6182
qi-wisp,8.43,4.88,0.5789
lorion-yena,8.43,2.32,0.2752
wisp-ybneth,8.41,5.09,0.6052
dolia-skud,8.41,3.42,0.4067
elandorr-yue,8.33,3.66,0.4394
rouie-zephys,8.32,4.67,0.5613
capheny-zephys,8.31,2.88,0.3466
billow-enzo,8.31,5.11,0.6149
billow-yena,8.31,5.32,0.6402
keera-toro,8.3,2.99,0.3602
stuart-zata,8.3,6.21,0.7482
tachi-violet,8.23,5.0,0.6075
annette-violet,8.23,5.56,0.6756
liliana-skud,8.22,2.11,0.2567
airi-iggy,8.22,4.9,0.5961
billow-maloch,8.2,4.66,0.5683
billow-cresht,8.13,2.34,0.2878
chaugnar-rouie,8.12,7.56,0.931
billow-mina,8.11,5.44,0.6708
murad-wisp,8.1,4.44,0.5481
dolia-maloch,8.08,2.87,0.3552
flowborn-toro,8.02,2.12,0.2643
wisp-zata,7.99,4.66,0.5832
capheny-ryoma,7.99,5.33,0.6671
lorion-ryoma,7.99,3.22,0.403
enzo-zata,7.99,4.56,0.5707
